"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"m"	"GM-0.2_2"	5	"GM-0.1_2"
TRUE	"m"	"GM-0.1_2"	5	"GM+5_2"
TRUE	"m"	"GM+5_2"	5	"GM+10_2"
TRUE	"m"	"GM+10_2"	5	"GM+15_2"
TRUE	"m"	"GM+15_2"	10	"GM+25_2"
TRUE	"m"	"GM+25_2"	20	"GM+45_2"
TRUE	"m"	"GM+45_2"	15	"GM+60_2"
TRUE	"m"	"GM+60_2"	30	"GM+90_2"
TRUE	"l"	"GM+90_2"	60	"GM+150_2"
TRUE	"f"	NA	NA	"GM-0.2_3"
TRUE	"m"	"GM-0.2_3"	5	"GM-0.1_3"
TRUE	"m"	"GM-0.1_3"	5	"GM+5_3"
TRUE	"m"	"GM+5_3"	5	"GM+10_3"
TRUE	"m"	"GM+10_3"	5	"GM+15_3"
TRUE	"m"	"GM+15_3"	10	"GM+25_3"
TRUE	"m"	"GM+25_3"	20	"GM+45_3"
TRUE	"m"	"GM+45_3"	15	"GM+60_3"
TRUE	"m"	"GM+60_3"	30	"GM+90_3"
TRUE	"m"	"GM+90_3"	30	"GM+120_3"
TRUE	"l"	"GM+120_3"	30	"GM+150_3"
TRUE	"f"	NA	NA	"MG-0.1_1"
TRUE	"m"	"MG-0.1_1"	5	"MG+5_1"
TRUE	"m"	"MG+5_1"	5	"MG+10_1"
TRUE	"m"	"MG+10_1"	5	"MG+15_1"
TRUE	"m"	"MG+15_1"	10	"MG+25_1"
TRUE	"m"	"MG+25_1"	20	"MG+45_1"
TRUE	"m"	"MG+45_1"	75	"MG+120_1"
TRUE	"l"	"MG+120_1"	30	"MG+150_1"
TRUE	"f"	NA	NA	"MG-0.1_2"
TRUE	"m"	"MG-0.1_2"	5	"MG-0.2_2"
TRUE	"m"	"MG-0.2_2"	5	"MG+t5_2"
TRUE	"m"	"MG+t5_2"	5	"MG+10_2"
TRUE	"m"	"MG+10_2"	5	"MG+15_2"
TRUE	"m"	"MG+15_2"	10	"MG+25_2"
TRUE	"m"	"MG+25_2"	20	"MG+45_2"
TRUE	"m"	"MG+45_2"	15	"MG+60_2"
TRUE	"m"	"MG+60_2"	30	"MG+90_2"
TRUE	"l"	"MG+90_2"	30	"MG+120_2"
TRUE	"f"	NA	NA	"MG-0.1_3"
TRUE	"m"	"MG-0.1_3"	5	"MG-0.2_3"
TRUE	"m"	"MG-0.2_3"	5	"MG+5_3"
TRUE	"m"	"MG+5_3"	5	"MG+10_3"
TRUE	"m"	"MG+10_3"	5	"MG+15_3"
TRUE	"m"	"MG+15_3"	10	"MG+25_3"
TRUE	"m"	"MG+25_3"	20	"MG+45_3"
TRUE	"m"	"MG+45_3"	15	"MG+60_3"
TRUE	"m"	"MG+60_3"	30	"MG+90_3"
TRUE	"m"	"MG+90_3"	30	"MG+120_3"
TRUE	"l"	"MG+120_3"	30	"MG+150_3"
FALSE	"e"	NA	NA	"LBexp_1"
FALSE	"e"	NA	NA	"LBexp_2"
FALSE	"e"	NA	NA	"LBexp_3"
FALSE	"e"	NA	NA	"LBtran_1"
FALSE	"e"	NA	NA	"LBtran_2"
FALSE	"e"	NA	NA	"LBtran_3"
FALSE	"e"	NA	NA	"LBstat_1"
FALSE	"e"	NA	NA	"LBstat_2"
FALSE	"e"	NA	NA	"LBstat_3"
FALSE	"e"	NA	NA	"LBGexp_1"
FALSE	"e"	NA	NA	"LBGexp_2"
FALSE	"e"	NA	NA	"LBGexp_3"
FALSE	"e"	NA	NA	"LBGtran_2"
FALSE	"e"	NA	NA	"LBGtran_3"
FALSE	"e"	NA	NA	"LBGstat_1"
FALSE	"e"	NA	NA	"LBGstat_2"
FALSE	"e"	NA	NA	"LBGstat_3"
FALSE	"e"	NA	NA	"BI_1"
FALSE	"e"	NA	NA	"BI_2"
FALSE	"e"	NA	NA	"BC_1"
FALSE	"e"	NA	NA	"BC_2"
FALSE	"e"	NA	NA	"BC/t_1"
FALSE	"e"	NA	NA	"BC/t_2"
FALSE	"e"	NA	NA	"Sw_1"
FALSE	"e"	NA	NA	"Sw_2"
FALSE	"e"	NA	NA	"BT_1"
FALSE	"e"	NA	NA	"BT_2"
FALSE	"e"	NA	NA	"B36_1"
FALSE	"e"	NA	NA	"B36_2"
FALSE	"e"	NA	NA	"B60_1"
FALSE	"e"	NA	NA	"B60_2"
FALSE	"e"	NA	NA	"M9exp_1"
FALSE	"e"	NA	NA	"M9exp_2"
FALSE	"e"	NA	NA	"M9exp_3"
FALSE	"e"	NA	NA	"M9tran_1"
FALSE	"e"	NA	NA	"M9tran_2"
FALSE	"e"	NA	NA	"M9tran_3"
FALSE	"e"	NA	NA	"M9stat_1"
FALSE	"e"	NA	NA	"M9stat_2"
FALSE	"e"	NA	NA	"M9stat_3"
FALSE	"e"	NA	NA	"M+G_1"
FALSE	"e"	NA	NA	"M+G_2"
FALSE	"e"	NA	NA	"M+G_3"
FALSE	"e"	NA	NA	"Glu_1"
FALSE	"e"	NA	NA	"Glu_2"
FALSE	"e"	NA	NA	"Glu_3"
FALSE	"e"	NA	NA	"Fru_1"
FALSE	"e"	NA	NA	"Fru_2"
FALSE	"e"	NA	NA	"Fru_3"
FALSE	"e"	NA	NA	"Mal_1"
FALSE	"e"	NA	NA	"Mal_2"
FALSE	"e"	NA	NA	"Mal_3"
FALSE	"e"	NA	NA	"G+S_1"
FALSE	"e"	NA	NA	"G+S_2"
FALSE	"e"	NA	NA	"G+S_3"
FALSE	"e"	NA	NA	"Pyr_1"
FALSE	"e"	NA	NA	"Pyr_2"
FALSE	"e"	NA	NA	"Pyr_3"
FALSE	"e"	NA	NA	"Gly_1"
FALSE	"e"	NA	NA	"Gly_2"
FALSE	"e"	NA	NA	"Gly_3"
FALSE	"e"	NA	NA	"Glucon_1"
FALSE	"e"	NA	NA	"Glucon_2"
FALSE	"e"	NA	NA	"Glucon_3"
FALSE	"e"	NA	NA	"aero_1"
FALSE	"e"	NA	NA	"aero_2"
FALSE	"e"	NA	NA	"aero_3"
FALSE	"e"	NA	NA	"nit_1"
FALSE	"e"	NA	NA	"nit_2"
FALSE	"e"	NA	NA	"nit_3"
FALSE	"e"	NA	NA	"ferm_1"
FALSE	"e"	NA	NA	"ferm_2"
FALSE	"e"	NA	NA	"ferm_3"
FALSE	"e"	NA	NA	"HPh_1"
FALSE	"e"	NA	NA	"HPh_2"
FALSE	"e"	NA	NA	"HPh_3"
FALSE	"e"	NA	NA	"LPh_1"
FALSE	"e"	NA	NA	"LPh_2"
FALSE	"e"	NA	NA	"LPh_3"
FALSE	"e"	NA	NA	"LPhT_1"
FALSE	"e"	NA	NA	"LPhT_2"
FALSE	"e"	NA	NA	"LPhT_3"
FALSE	"e"	NA	NA	"SMMPr_1"
FALSE	"e"	NA	NA	"SMMPr_2"
FALSE	"e"	NA	NA	"SMMPr_3"
FALSE	"e"	NA	NA	"HiTm_1"
FALSE	"e"	NA	NA	"HiTm_2"
FALSE	"e"	NA	NA	"HiTm_3"
FALSE	"e"	NA	NA	"LoTm_1"
FALSE	"e"	NA	NA	"LoTm_2"
FALSE	"e"	NA	NA	"LoTm_3"
FALSE	"e"	NA	NA	"HiOs_1"
FALSE	"e"	NA	NA	"HiOs_2"
FALSE	"e"	NA	NA	"HiOs_3"
FALSE	"e"	NA	NA	"Diami_1"
FALSE	"e"	NA	NA	"Diami_2"
FALSE	"e"	NA	NA	"Diami_3"
FALSE	"e"	NA	NA	"Paraq_1"
FALSE	"e"	NA	NA	"Paraq_2"
FALSE	"e"	NA	NA	"Paraq_3"
FALSE	"e"	NA	NA	"H2O2_1"
FALSE	"e"	NA	NA	"H2O2_2"
FALSE	"e"	NA	NA	"H2O2_3"
FALSE	"e"	NA	NA	"Oxctl_1"
FALSE	"e"	NA	NA	"Oxctl_2"
FALSE	"e"	NA	NA	"Oxctl_3"
